Region.Label	Area	Sample.Label	Effort	Size	sightdist	sightangle
Sangasanga	987400	SS3	6000	2	9	74
Tsitola	10971000	TT1	5000	2	15	60
Vatovavy	3533900	VV8	5500	3	18	75
Karakandatra	2799100	KK1	5500	4	5	69
Karakandatra	2799100	KK1	5500	2	14	67
Karakandatra	2799100	KK8	5500	5	10	72
Karakandatra	2799100	KK11	5500	2	4	82
Vatovavy	3533900	VV8	5500	2	25	28
Tsitola	10971000	TT2	5000	3	15	32
Sangasanga	987400	SS3	6000	6	13	14
Sangasanga	987400	SS3	6000	5	4	88
Sangasanga	987400	SS3	6000	1	14	1
Vatovavy	3533900	VV8	5500	2	6	12
Tsitola	10971000	TT2	5000	2	9	86
Karakandatra	2799100	KK1	5500	3	10	45
Karakandatra	2799100	KK2	5500	1	8	15
Karakandatra	2799100	KK1	5500	1	20	13
Karakandatra	2799100	KK7	4500	2	9	53
Karakandatra	2799100	KK8	5500	2	7	43
Vatovavy	3533900	VV5	5500	2	30	80
Vatovavy	3533900	VV7	5500	1	6	50
Vatovavy	3533900	VV15	5000	3	12	76
Tsitola	10971000	TT2	5000	1	15	18
Sangasanga	987400	SS3	6000	5	28	72
Vatovavy	3533900	VV8	5500	1	6	2
Sangasanga	987400	SS3	6000	3	5	1
Karakandatra	2799100	KK1	5500	3	19	27
Karakandatra	2799100	KK7	4500	5	7	89
Karakandatra	2799100	KK8	5500	2	5	69
Karakandatra	2799100	KK6	4000	1	22	85
Tsitola	10971000	TT2	5000	1	11	60
Tsitola	10971000	TT2	5000	3	8	64
Sangasanga	987400	SS3	6000	3	5	86
Tsitola	10971000	TT4	4500	2	26	86
Karakandatra	2799100	KK1	5500	3	7	11
Karakandatra	2799100	KK2	5500	2	10	72
Karakandatra	2799100	KK8	5500	2	5	68
Vatovavy	3533900	VV2	6000	1	13	90
Tsitola	10971000	TT1	5000	1	12	34
Sangasanga	987400	SS3	6000	1	15	30
Tsitola	10971000	TT1	5000	2	16	38
Sangasanga	987400	SS4	6000	3	13	28
Tsitola	10971000	TT4	4500	4	5	62
Karakandatra	2799100	KK1	5500	3	10	45
Karakandatra	2799100	KK2	5500	1	12	29
Tsitola	10971000	TT1	5000	2	10	1
Karakandatra	2799100	KK1	5500	1	17	86
Karakandatra	2799100	KK1	5500	2	7	60
Karakandatra	2799100	KK2	5500	1	5	42
Tsiazombazaha	813700	TZ1	5500	0	0	0
Tsiazombazaha	813700	TZ2	5000	0	0	0
Tsiazombazaha	813700	TZ3	5500	0	0	0
Karakandatra	2799100	KK3	5500	0	0	0
Karakandatra	2799100	KK4	4500	0	0	0
Karakandatra	2799100	KK5	4500	0	0	0
Karakandatra	2799100	KK9	4000	0	0	0
Sangasanga	987400	SS2	6000	0	0	0
Tsitola	10971000	TT5	5500	0	0	0
Tsitola	10971000	TT6	4500	0	0	0
Tsitola	10971000	TT7	4000	0	0	0
Tsitola	10971000	TT8	4000	0	0	0
Tsitola	10971000	TT9	4000	0	0	0
Tsitola	10971000	TT11	5000	0	0	0
Tsitola	10971000	TT12	5000	0	0	0
Tsitola	10971000	TT13	5000	0	0	0
Vatovavy	3533900	VV1	6000	0	0	0
Vatovavy	3533900	VV10	5000	0	0	0
Vatovavy	3533900	VV14	5000	0	0	0
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
