Region.Label	Area	Sample.Label	Effort 	Size	sightdist	sightangle
Vatovavy	3533900	VV8	14000	6	5	40
Vatovavy	3533900	VV15	13000	6	6	15
Vatovavy	3533900	VV5	8500	2	9	85
Vatovavy	3533900	VV2	13500	2	18	40
Sangasanga	987400	SS3	8000	7	6	61
Vatovavy	3533900	VV15	13000	4	10	70
Sangasanga	987400	SS4	7500	6	3	16
Sangasanga	987400	SS3	8000	4	10	88
Vatovavy	3533900	VV7	14500	4	6	10
Sangasanga	987400	SS3	8000	4	6	41
Sangasanga	987400	SS3	8000	6	7	26
Vatovavy	3533900	VV8	14000	5	10	1
Sangasanga	987400	SS3	8000	5	2	84
Vatovavy	3533900	VV8	14000	2	4	90
Vatovavy	3533900	VV8	14000	6	10	30
Vatovavy	3533900	VV8	14000	2	15	1
Vatovavy	3533900	VV5	8500	6	10	44
Karakandatra	2799100	KK1	4500	0	0	0
Karakandatra	2799100	KK2	8000	0	0	0
Karakandatra	2799100	KK3	8500	0	0	0
Karakandatra	2799100	KK4	6000	0	0	0
Karakandatra	2799100	KK5	6500	0	0	0
Karakandatra	2799100	KK6	8500	0	0	0
Karakandatra	2799100	KK7	8000	0	0	0
Karakandatra	2799100	KK8	8000	0	0	0
Karakandatra	2799100	KK9	8000	0	0	0
Karakandatra	2799100	KK11	3000	0	0	0
Sangasanga	987400	SS2	8500	0	0	0
Tsitola	10971000	TT1	7500	0	0	0
Tsitola	10971000	TT2	8500	0	0	0
Tsitola	10971000	TT4	6500	0	0	0
Tsitola	10971000	TT5	8000	0	0	0
Tsitola	10971000	TT6	6500	0	0	0
Tsitola	10971000	TT7	7500	0	0	0
Tsitola	10971000	TT8	7000	0	0	0
Tsitola	10971000	TT9	7500	0	0	0
Tsitola	10971000	TT11	8000	0	0	0
Tsitola	10971000	TT12	8000	0	0	0
Tsitola	10971000	TT13	8000	0	0	0
Vatovavy	3533900	VV1	13500	0	0	0
Vatovavy	3533900	VV14	13000	0	0	0
Vatovavy	3533900	VV15	13000	0	0	0
Tsiazombazaha	813700	TZ1	8500	0	0	0
Tsiazombazaha	813700	TZ2	8500	0	0	0
Tsiazombazaha	813700	TZ3	4500	0	0	0
Vatovavy	3533900	VV10	13000	0	0	0
