Region.Label	Area	Sample.Label	Effort 	Size	sightdist	sightangle
Vatovavy	3533900	VV10	5000	NA	0	0
Vatovavy	3533900	VV14	5000	NA	0	0
Karakandatra	2799100	KK1	5500	NA	0	0
Tsitola	10971000	TT13	5000	NA	0	0
Karakandatra	2799100	KK11	5500	NA	0	0
Karakandatra	2799100	KK2	5500	NA	0	0
Karakandatra	2799100	KK3	5500	NA	0	0
Karakandatra	2799100	KK5	4500	NA	0	0
Karakandatra	2799100	KK6	4000	NA	0	0
Karakandatra	2799100	KK7	4500	NA	0	0
Tsitola	10971000	TT7	4000	NA	0	0
Tsitola	10971000	TT8	4000	NA	0	0
Tsitola	10971000	TT9	4000	NA	0	0
Vatovavy	3533900	VV7	5500	NA	0	0
Tsiazombazaha	813700	TZ1	5500	NA	0	0
Tsiazombazaha	813700	TZ2	5000	NA	0	0
Tsiazombazaha	813700	TZ3	5500	NA	0	0
Karakandatra	2799100	KK9	4000	NA	0	0
Vatovavy	3533900	VV2	6000	1	10	20
Sangasanga	987400	SS4	6000	1	14	20
Sangasanga	987400	SS4	6000	2	2	64
Sangasanga	987400	SS4	6000	2	1	40
Vatovavy	3533900	VV15	5000	3	14	26
Tsitola	10971000	TT11	5000	3	8	56
Vatovavy	3533900	VV2	6000	3	11	26
Sangasanga	987400	SS3	6000	3	6	24
Tsitola	10971000	TT4	4500	3	12	7
Vatovavy	3533900	VV5	6000	3	9	30
Karakandatra	2799100	KK4	4500	3	13	49
Karakandatra	2799100	KK8	5500	3	17	21
Karakandatra	2799100	KK8	5500	3	3	89
Vatovavy	3533900	VV8	5500	3	10	40
Sangasanga	987400	SS3	6000	4	10	56
Sangasanga	987400	SS3	6000	4	15	30
Tsitola	10971000	TT1	5000	4	8	76
Sangasanga	987400	SS3	6000	4	20	42
Tsitola	10971000	TT2	5000	4	13	80
Tsitola	10971000	TT5	5500	4	6	70
Tsitola	10971000	TT5	5500	4	2	8
Tsitola	10971000	TT6	4500	4	2	33
Tsitola	10971000	TT6	4500	4	18	74
Sangasanga	987400	SS3	6000	5	7	87
Sangasanga	987400	SS3	6000	5	11	76
Tsitola	10971000	TT2	5000	5	10	30
Vatovavy	3533900	VV5	6000	5	20	42
Tsitola	10971000	TT1	5000	6	13	46
Tsitola	10971000	TT1	5000	6	8	57
Sangasanga	987400	SS3	6000	6	4	7
Sangasanga	987400	SS3	6000	6	14	47
Vatovavy	3533900	VV5	6000	6	10	70
Vatovavy	3533900	VV5	6000	6	20	58
Tsitola	10971000	TT2	5000	6	12	28
Vatovavy	3533900	VV8	5500	6	7	78
Vatovavy	3533900	VV2	6000	7	7	30
Tsitola	10971000	TT12	5000	7	8	70
Sangasanga	987400	SS3	6000	8	18	78
Vatovavy	3533900	VV5	6000	9	25	2
Vatovavy	3533900	VV8	5500	10	4	40
Vatovavy	3533900	VV1	6000	NA	0	0
Sangasanga	987400	SS2	6000	NA	0	0
