Region.Label	Area	Sample.Label	Effort 	Size	sightdist	sightangle
Karakandatra	2799100	KK7	6000	1	11	32
Sangasanga	987400	SS3	8500	7	7	28
Tsitola	10971000	TT1	8500	4	6	88
Tsitola	10971000	TT11	7500	3	3	73
Tsitola	10971000	TT11	7500	4	10	86
Tsitola	10971000	TT11	7500	2	5	86
Sangasanga	987400	SS3	8500	3	9	71
Karakandatra	2799100	KK1	6000	2	9	73
Vatovavy	3533900	VV2	12000	6	5	80
Vatovavy	3533900	VV2	12000	6	10	20
Vatovavy	3533900	VV2	12000	3	20	30
Tsitola	10971000	TT2	9000	6	10	70
Vatovavy	3533900	VV5	11500	5	10	70
Tsitola	10971000	TT4	7000	4	8	56
Tsitola	10971000	TT4	7000	5	11	33
Sangasanga	987400	SS3	8500	6	9	83
Tsitola	10971000	TT4	7000	5	9	69
Karakandatra	2799100	KK1	6000	2	8	37
Sangasanga	987400	SS3	8500	2	5	86
Karakandatra	2799100	KK1	6000	5	9	47
Tsitola	10971000	TT5	8500	4	4	2
Vatovavy	3533900	VV5	11500	4	25	85
Sangasanga	987400	SS3	8500	7	16	76
Tsitola	10971000	TT5	8500	3	6	74
Tsitola	10971000	TT5	8500	2	6	2
Vatovavy	3533900	VV5	11500	6	10	90
Tsitola	10971000	TT5	8500	2	11	40
Karakandatra	2799100	KK2	6000	4	13	7
Sangasanga	987400	SS3	8500	7	8	63
Karakandatra	2799100	KK8	7500	4	7	61
Tsitola	10971000	TT6	7000	2	5	44
Sangasanga	987400	SS3	8500	2	18	70
Tsitola	10971000	TT6	7000	6	4	29
Tsitola	10971000	TT7	8000	5	9	66
Sangasanga	987400	SS3	8500	4	8	380
Vatovavy	3533900	VV5	11500	4	7	80
Vatovavy	3533900	VV5	11500	5	9	40
Sangasanga	987400	SS3	8500	4	11	45
Tsitola	10971000	TT9	7000	4	9	18
Sangasanga	987400	SS3	8500	3	12	76
Vatovavy	3533900	VV8	14000	5	9	60
Tsitola	10971000	TT9	7000	5	7	42
Karakandatra	2799100	KK8	7500	3	12	16
Karakandatra	2799100	KK3	7000	0	0	0
Karakandatra	2799100	KK4	6000	0	0	0
Karakandatra	2799100	KK5	6000	0	0	0
Karakandatra	2799100	KK6	6000	0	0	0
Karakandatra	2799100	KK9	5500	0	0	0
Karakandatra	2799100	KK11	7000	0	0	0
Sangasanga	987400	SS2	8500	0	0	0
Sangasanga	987400	SS4	8500	0	0	0
Tsitola	10971000	TT8	7000	0	0	0
Tsitola	10971000	TT12	7000	0	0	0
Tsitola	10971000	TT13	7000	0	0	0
Vatovavy	3533900	VV1	12000	0	0	0
Vatovavy	3533900	VV7	14000	0	0	0
Vatovavy	3533900	VV10	11000	0	0	0
Vatovavy	3533900	VV14	11000	0	0	0
Vatovavy	3533900	VV15	11000	0	0	0
Tsiazombazaha	813700	TZ1	6500	0	0	0
Tsiazombazaha	813700	TZ2	6500	0	0	0
Tsiazombazaha	813700	TZ3	6500	0	0	0
