Region.Label	Area	Sample.Label	Effort 	Size	sightdist	sightangle
Vatovavy	3533900	VV15	14500	5	6	40
Vatovavy	3533900	VV2	13500	6	16	59
Vatovavy	3533900	VV5	13500	6	22	60
Vatovavy	3533900	VV5	13500	4	20	0.1
Tsitola	10971000	TT4	1500	4	19	48
Vatovavy	3533900	VV5	13500	5	20	10
Vatovavy	3533900	VV5	13500	3	20	56
Vatovavy	3533900	VV5	13500	3	20	70
Vatovavy	3533900	VV7	15000	3	8	60
Vatovavy	3533900	VV8	15000	7	17	40
Sangasanga	987400	SS4	5000	4	8	67
Vatovavy	3533900	VV8	15000	5	18	0.1
Vatovavy	3533900	VV8	15000	2	10	0.1
Tsitola	10971000	TT7	4500	4	14	36
Vatovavy	3533900	VV8	15000	2	7	60
Sangasanga	987400	SS4	5000	3	13	60
Vatovavy	3533900	VV8	15000	3	5	20
Sangasanga	987400	SS4	5000	4	7	90
Vatovavy	3533900	VV8	15000	5	10	41
Vatovavy	3533900	VV8	15000	4	6	35
Sangasanga	987400	SS4	5000	2	10	86
Sangasanga	987400	SS3	5000	7	14	32
Vatovavy	3533900	VV8	15000	5	11	40
Tsiazombazaha	813700	TZ1	6500	0	0	0
Tsiazombazaha	813700	TZ2	5500	0	0	0
Tsiazombazaha	813700	TZ3	5500	0	0	0
Karakandatra	2799100	KK1	5000	0	0	0
Karakandatra	2799100	KK2	4500	0	0	0
Karakandatra	2799100	KK3	5000	0	0	0
Karakandatra	2799100	KK4	3500	0	0	0
Karakandatra	2799100	KK5	3500	0	0	0
Karakandatra	2799100	KK6	2000	0	0	0
Karakandatra	2799100	KK7	4500	0	0	0
Karakandatra	2799100	KK8	4000	0	0	0
Karakandatra	2799100	KK9	4000	0	0	0
Karakandatra	2799100	KK11	3500	0	0	0
Sangasanga	987400	SS2	4000	0	0	0
Tsitola	10971000	TT1	5500	0	0	0
Tsitola	10971000	TT2	5500	0	0	0
Tsitola	10971000	TT5	4500	0	0	0
Tsitola	10971000	TT6	2500	0	0	0
Tsitola	10971000	TT8	1000	0	0	0
Tsitola	10971000	TT9	1000	0	0	0
Tsitola	10971000	TT11	3000	0	0	0
Tsitola	10971000	TT12	3000	0	0	0
Tsitola	10971000	TT13	2500	0	0	0
Vatovavy	3533900	VV1	13500	0	0	0
Vatovavy	3533900	VV10	14500	0	0	0
Vatovavy	3533900	VV14	14500	0	0	0
