Region.Label	Area	Sample.Label	Effort 	Size	sightdist	sightangle
Sangasanga	987400	SS3	5500	7	9	86
Sangasanga	987400	SS2	5500	7	9	4
Tsiazombazaha	813700	TZ2	5000	7	8	54
Vatovavy	3533900	VV1	16000	7	23	88
Tsitola	10971000	TT1	5000	6	7	46
Tsitola	10971000	TT5	7000	6	7	80
Tsitola	10971000	TT6	4500	6	23	84
Vatovavy	3533900	VV5	16500	6	25	50
Sangasanga	987400	SS3	5500	5	6	83
Sangasanga	987400	SS3	5500	5	20	76
Vatovavy	3533900	VV15	16500	5	17	55
Vatovavy	3533900	VV2	16500	5	10	30
Vatovavy	3533900	VV2	16500	5	15	85
Vatovavy	3533900	VV8	16500	5	7	10
Sangasanga	987400	SS3	5500	4	8	38
Vatovavy	3533900	VV15	16500	4	13	25
Vatovavy	3533900	VV5	16500	4	26	30
Vatovavy	3533900	VV5	16500	4	21	44
Vatovavy	3533900	VV8	16500	4	4	60
Vatovavy	3533900	VV5	16500	4	12	20
Tsitola	10971000	TT6	4500	3	6	36
Vatovavy	3533900	VV2	16500	3	10	1
Vatovavy	3533900	VV5	16500	3	4	30
Vatovavy	3533900	VV8	16500	3	10	40
Vatovavy	3533900	VV8	16500	3	3	10
Vatovavy	3533900	VV8	16500	3	10	50
Karakandatra	2799100	KK1	4500	2	10	75
Tsitola	10971000	TT9	4500	2	10	21
Vatovavy	3533900	VV8	16500	2	10	50
Sangasanga	987400	SS2	5500	1	8	81
Vatovavy	3533900	VV2	16500	1	12	60
Karakandatra	2799100	KK2	5500	0	0	0
Karakandatra	2799100	KK3	6000	0	0	0
Karakandatra	2799100	KK4	7000	0	0	0
Karakandatra	2799100	KK5	5500	0	0	0
Karakandatra	2799100	KK6	5000	0	0	0
Karakandatra	2799100	KK7	2500	0	0	0
Karakandatra	2799100	KK8	5000	0	0	0
Karakandatra	2799100	KK9	2500	0	0	0
Karakandatra	2799100	KK11	5500	0	0	0
Sangasanga	987400	SS4	5500	0	0	0
Tsiazombazaha	813700	TZ1	3000	0	0	0
Tsiazombazaha	813700	TZ3	5000	0	0	0
Tsitola	10971000	TT2	5000	0	0	0
Tsitola	10971000	TT8	2500	0	0	0
Tsitola	10971000	TT11	5500	0	0	0
Tsitola	10971000	TT12	5500	0	0	0
Tsitola	10971000	TT13	5000	0	0	0
Tsitola	10971000	TT4	4000	0	0	0
Tsitola	10971000	TT7	7000	0	0	0
Vatovavy	3533900	VV10	17000	0	0	0
Vatovavy	3533900	VV14	16000	0	0	0
Vatovavy	3533900	VV1	16000	0	0	0
Vatovavy	3533900	VV7	17000	0	0	0
